==> training in progress with 3438 words	
iter fn.val gap time feval.num train_lett_err train_word_err test_lett_err test_word_err	
0 24.5949 186.2461 69.969 0.0000 92.31 100.00 92.22 100.00	
1 121.4978 74.6631 210.937 0.2909 35.32 86.68 36.57 88.40	
2 91.7731 46.6493 348.417 0.5817 26.74 74.37 29.12 78.57	
3 79.6625 43.6544 483.678 0.8726 24.87 73.65 26.89 75.84	
4 67.7807 37.4108 617.274 1.1635 22.44 68.27 24.90 71.71	
5 59.3643 30.7269 751.102 1.4543 20.86 63.67 23.40 68.10	
6 52.2306 27.0498 885.664 1.7452 19.96 63.00 22.80 68.19	
7 47.4500 25.8193 1019.604 2.0361 19.06 60.79 21.99 67.05	
8 42.2576 19.0467 1156.480 2.3269 18.95 59.95 22.19 66.76	
9 39.3613 26.6363 1291.318 2.6178 18.98 60.30 22.32 65.08	
10 35.9864 24.4762 1428.616 2.9087 19.09 60.79 22.64 66.24	
11 34.5751 27.9843 1569.289 3.1995 20.56 63.96 24.01 68.33	
12 31.7026 27.3111 1707.717 3.4904 21.23 64.46 24.24 68.28	
13 30.6812 28.2944 1846.126 3.7813 22.23 66.40 25.00 70.83	
14 31.4946 39.5112 1984.255 4.0721 22.90 66.67 25.86 71.53	
15 32.0610 34.4067 2121.088 4.3630 23.63 68.85 26.96 73.45	
16 32.5162 34.9135 2257.947 4.6539 24.35 69.43 27.15 74.96	
17 35.4864 42.3210 2393.166 4.9447 25.64 72.22 28.84 76.36	
18 36.9566 48.3209 2530.026 5.2356 26.80 72.95 28.93 76.21	
19 35.1623 44.7541 2665.051 5.5265 25.90 72.05 28.41 76.07	
20 38.2286 59.0773 2799.256 5.8173 26.68 74.75 28.37 76.42	
21 33.5170 33.7334 2935.512 6.1082 23.14 68.35 25.19 70.78	
22 34.6830 36.4705 3069.087 6.3991 24.51 70.16 26.50 72.84	
23 35.1200 39.7689 3201.667 6.6899 25.25 71.23 27.32 74.15	
24 39.1287 49.3188 3335.509 6.9808 27.15 74.55 28.95 77.23	
25 39.1159 48.8652 3466.805 7.2717 26.28 72.75 28.65 75.72	
26 45.9454 55.8965 3599.869 7.5625 29.35 77.66 31.30 79.15	
27 44.3111 43.5881 3731.394 7.8534 25.65 71.55 28.35 75.20	
28 45.0104 42.7857 3863.038 8.1443 25.90 73.44 28.66 76.53	
29 45.1695 36.7094 3994.551 8.4351 25.26 72.51 27.78 75.31	
30 47.6283 43.6084 4124.715 8.7260 26.63 72.16 28.50 74.38	
31 46.3840 36.7531 4253.619 9.0169 25.37 71.55 27.22 74.85	
32 46.3378 37.9488 4382.545 9.3077 24.42 70.13 26.17 73.66	
33 48.0923 42.1461 4511.722 9.5986 25.66 72.37 28.19 75.37	
34 46.5747 46.3372 4640.650 9.8895 25.49 73.33 27.86 76.42	
35 45.9860 43.7697 4769.150 10.1803 24.63 70.22 27.51 74.85	
36 53.9387 54.6534 4898.876 10.4712 26.79 73.07 29.48 76.82	
37 56.4567 55.8792 5030.017 10.7621 27.47 76.64 29.78 79.27	
38 52.8391 36.7242 5161.489 11.0529 24.76 70.24 27.28 73.54	
39 51.6288 44.5371 5292.170 11.3438 24.84 69.63 27.93 74.09	
40 50.5072 41.5892 5423.632 11.6347 25.35 71.87 27.49 74.29	
41 51.5878 45.8555 5553.973 11.9255 26.26 73.50 28.91 77.35	
42 53.2322 53.9849 5684.994 12.2164 26.91 73.04 29.48 77.73	
43 50.4101 47.9055 5824.419 12.5073 25.63 73.07 28.35 77.14	
44 55.9745 48.5041 5956.321 12.7981 27.11 74.17 29.79 78.08	
45 61.3375 64.4158 6087.809 13.0890 26.77 74.72 29.35 77.81	
46 59.0090 41.9482 6216.591 13.3799 25.85 73.62 27.99 77.12	
47 58.6104 52.1142 6345.512 13.6707 26.73 72.75 29.24 77.76	
48 61.4799 51.0217 6473.860 13.9616 27.66 75.77 30.38 78.74	
49 57.0680 37.1463 6602.107 14.2525 24.50 70.16 27.21 73.77	
<SAG-NUS> 	reached max number of iterations	
